"fecha","cs","nuevos_casos","tarjetas_sanitarias","pcr_realizados","pcr_positivos","pcr_positivos_sintomas","fallecidos","casos_activos"
2020-03-01,170101,0,7598,0,0,0,0,0
2020-03-01,170102,1,13805,0,0,0,0,1
2020-03-01,170103,0,17113,0,0,0,0,0
2020-03-01,170104,0,11289,0,0,0,0,1
2020-03-01,170105,0,8657,0,0,0,0,0
2020-03-01,170106,0,2749,0,0,0,0,0
2020-03-01,170107,0,14531,0,0,0,0,0
2020-03-01,170108,0,4510,0,0,0,0,0
2020-03-01,170109,0,4590,0,0,0,0,0
2020-03-01,170110,0,5009,0,0,0,0,0
2020-03-01,170111,0,8666,0,0,0,0,0
2020-03-01,170112,0,2215,0,0,0,0,0
2020-03-01,170113,0,1428,0,0,0,0,0
2020-03-01,170114,0,5992,0,0,0,0,0
2020-03-01,170115,0,2404,0,0,0,0,0
2020-03-01,170116,0,2461,0,0,0,0,0
2020-03-01,170117,0,3570,0,0,0,0,0
2020-03-01,170118,0,1969,0,0,0,0,0
2020-03-01,170119,0,11034,0,0,0,0,0
2020-03-01,170120,0,2154,0,0,0,0,1
2020-03-01,170121,0,930,0,0,0,0,0
2020-03-01,170122,0,16079,0,0,0,0,0
2020-03-01,170201,0,19644,0,0,0,0,0
2020-03-01,170202,0,7752,0,0,0,0,0
2020-03-01,170203,0,16170,0,0,0,0,0
2020-03-01,170204,0,3893,0,0,0,0,1
2020-03-01,170205,0,8778,0,0,0,0,1
2020-03-01,170206,0,16671,0,0,0,0,0
2020-03-01,170207,0,16183,0,0,0,0,1
2020-03-01,170208,0,7313,0,0,0,0,1
2020-03-01,170209,0,11518,0,0,0,0,0
2020-03-01,170210,0,1818,0,0,0,0,1
2020-03-01,170211,0,2671,0,0,0,0,0
2020-03-01,170212,0,15253,0,0,0,0,0
2020-03-01,170213,1,15716,0,0,0,0,1
2020-03-01,170214,0,16703,0,0,0,0,1
2020-03-01,170215,0,1336,0,0,0,0,0
2020-03-01,170216,0,6027,0,0,0,0,0
2020-03-01,170217,1,17094,0,0,0,0,1
2020-03-01,170218,0,14868,0,0,0,0,0
2020-03-01,170219,0,6728,0,0,0,0,0
2020-03-01,170220,0,2784,0,0,0,0,1
2020-03-01,170221,0,18513,0,0,0,0,0
2020-03-01,170222,0,19188,0,0,0,0,0
2020-03-01,170223,0,1899,0,0,0,0,0
2020-03-01,170224,0,3159,0,0,0,0,0
2020-03-01,170225,0,5606,0,0,0,0,0
2020-03-01,170226,0,3244,0,0,0,0,1
2020-03-01,170227,0,21990,0,0,0,0,0
2020-03-01,170228,0,17245,0,0,0,0,1
2020-03-01,170229,0,441,0,0,0,0,0
2020-03-01,170230,0,549,0,0,0,0,0
2020-03-01,170231,0,974,0,0,0,0,0
2020-03-01,170232,0,919,0,0,0,0,0
