"CODAUTO","CPRO","CMUN","DC","NOMBRE","SUPERFICIE","HABITANTES"
"02","44","001","2","Ababuj",54.3,73
"07","40","001","9","Abades",31.98,848
"11","10","001","5","Abadía",45.08,331
"12","27","001","8","Abadín",196.02,2367
"16","48","001","0","Abadiño",35.93,7599
"15","31","001","8","Abáigar",4.86,83
"07","09","001","1","Abajas",35.07,31
"17","26","001","2","Ábalos",18.1,257
"16","20","001","3","Abaltzisketa",11.18,333
"08","19","001","9","Abánades",36.08,48
"14","30","001","1","Abanilla",235.62,6127
"02","50","001","6","Abanto",63.84,100
"16","48","002","5","Abanto y Ciérvana-Abanto Zierbena",16.18,9444
"14","30","002","6","Abarán",115.04,12964
"07","34","001","4","Abarca de Campos",11.39,44
"15","31","002","3","Abárzuza/Abartzuza",23.02,538
"15","31","003","9","Abaurregaina/Abaurrea Alta",21.36,126
"15","31","004","4","Abaurrepea/Abaurrea Baja",10.89,32
"12","15","001","1","Abegondo",83.9,5406
"07","42","001","1","Abejar",23.43,297
"02","44","002","7","Abejuela",86.67,48
"09","25","001","9","Abella de la Conca",78.12,179
"08","02","001","9","Abengibre",30.77,790
"08","13","001","3","Abenójar",423.43,1375
"15","31","005","7","Aberin",21.25,359
"11","10","002","0","Abertura",62.71,407
"07","49","002","8","Abezames",23.26,61
"08","16","001","4","Abia de la Obispalía",63.05,65
"07","34","003","5","Abia de las Torres",27.16,165
"02","22","001","5","Abiego",38.19,248
"02","22","002","0","Abizanda",44.84,150
"01","04","001","0","Abla",45.24,1249
"08","19","002","4","Ablanque",51.4,59
"15","31","006","0","Ablitas",77.48,2481
"09","08","001","8","Abrera",19.98,12489
"01","04","002","5","Abrucena",83.68,1202
"07","37","001","6","Abusejo",23.1,183
"13","28","001","4","Acebeda, La",22.06,84
"07","24","001","6","Acebedo",50.18,187
"11","10","003","6","Acebo",57.02,579
"08","16","002","9","Acebrón, El",22.11,234
"11","06","001","6","Acedera",82.47,807
"11","10","004","1","Acehúche",91.06,801
"11","10","005","4","Aceituna",40.08,607
"02","50","002","1","Acered",30.4,166
"11","06","002","1","Aceuchal",63.08,5449
"02","22","003","6","Adahuesca",52.47,177
"07","47","001","4","Adalia",16.26,53
"01","14","001","8","Adamuz",334.99,4192
"07","05","001","3","Adanero",31.42,196
"05","38","001","2","Adeje",105.95,47869
"10","46","001","8","Ademuz",100.42,1042
"15","31","007","6","Adiós",7.72,155
"08","19","003","0","Adobes",32.66,29
"10","46","002","3","Ador",13.81,1508
"01","04","003","1","Adra",89.69,25148
"07","09","003","2","Adrada de Haza",10.28,203
"07","40","002","4","Adrada de Pirón",10.72,39
"07","05","002","8","Adrada, La",58.67,2480
"07","42","003","2","Adradas",67.47,69
"07","40","003","0","Adrados",18.19,126
"16","20","002","8","Aduna",6.95,469
"05","35","001","7","Agaete",44.51,5586
"07","37","002","1","Agallas",44.61,136
"09","25","002","4","Àger",160.82,588
"12","36","020","9","Agolada",147.85,2344
"02","50","003","7","Agón",18.52,137
"17","26","002","7","Agoncillo",34.86,1102
"10","03","002","0","Agost",66.64,4758
"09","25","003","0","Agramunt",79.43,5371
"07","42","004","7","Ágreda",164.93,3001
"10","03","003","6","Agres",25.84,565
"01","18","001","6","Agrón",27,274
"01","41","001","6","Aguadulce",13.69,2020
"02","50","004","2","Aguarón",36.62,636
"07","09","006","3","Aguas Cándidas",17.95,56
"07","47","002","9","Aguasal",27.02,19
"02","44","003","3","Aguatón",21.64,18
"02","44","004","8","Aguaviva",42.15,514
"08","13","002","8","Agudo",229.96,1659
"02","22","004","1","Agüero",94.16,129
"07","40","004","5","Aguilafuente",60.57,573
"07","09","007","9","Aguilar de Bureba",9.45,58
"07","34","004","0","Aguilar de Campoo",235.32,6744
"07","47","003","5","Aguilar de Campos",49.83,243
"15","31","008","2","Aguilar de Codés",18.67,67
"01","14","002","3","Aguilar de la Frontera",166.06,13328
"09","08","002","3","Aguilar de Segarra",43.14,288
"02","44","005","1","Aguilar del Alfambra",39.04,63
"17","26","003","3","Aguilar del Río Alhama",54.11,460
"14","30","003","2","Águilas",251.77,35301
"02","50","005","5","Aguilón",59.45,251
"05","35","002","2","Agüimes",78.9,31619
"09","17","001","0","Agullana",27.49,831
"10","46","004","4","Agullent",16.24,2410
"05","38","002","7","Agulo",25,1096
"16","01","051","3","Agurain/Salvatierra",37.77,5062
"11","10","006","7","Ahigal",52.07,1372
"07","37","003","7","Ahigal de los Aceiteros",27.93,114
"07","37","004","2","Ahigal de Villarino",24.11,31
"11","06","003","7","Ahillones",21.54,871
"16","20","016","3","Aia",55.27,2054
"15","31","009","5","Aibar/Oibar",47.71,805
"10","46","042","5","Aielo de Malferit",26.74,4618
"10","46","043","1","Aielo de Rugat",7.83,155
"09","08","014","2","Aiguafreda",8,2504
"09","43","001","7","Aiguamúrcia",73.75,901
"09","17","002","5","Aiguaviva",13.97,756
"10","03","004","1","Aigües",18.47,963
"10","12","002","2","Aín",12.29,127
"02","22","907","4","Aínsa-Sobrarbe",284.77,2201
"02","50","006","8","Ainzón",40.46,1077
"02","22","006","7","Aisa",80.97,320
"09","25","038","7","Aitona",67.3,2591
"16","20","003","4","Aizarnazabal",6.55,772
"13","28","002","9","Ajalvir",19.62,4712
"17","26","004","8","Ajamil de Cameros",66.15,66
"16","48","911","9","Ajangiz",7.13,477
"08","45","001","5","Ajofrín",35.1,2264
"02","44","006","4","Alacón",47.5,252
"02","50","007","4","Aladrén",21.06,52
"07","47","004","0","Alaejos",102.49,1369
"02","50","008","0","Alagón",24.18,7163
"11","10","903","7","Alagón del Río",14.29,932
"04","07","002","7","Alaior",109.86,9065
"01","21","001","0","Alájar",41.46,756
"05","38","003","3","Alajeró",49.61,2017
"01","29","001","7","Alameda",65.11,5372
"07","37","005","5","Alameda de Gardón, La",32.27,70
"08","45","002","0","Alameda de la Sagra",33.03,3623
"13","28","003","5","Alameda del Valle",25.01,200
"01","18","002","1","Alamedilla",90.71,574
"07","37","006","8","Alamedilla, La",19.34,126
"08","13","003","4","Alamillo",67.29,486
"08","19","004","5","Alaminos",19.5,60
"13","28","004","0","Álamo, El",22.25,9470
"09","25","004","5","Alamús, Els",20.4,819
"11","06","004","2","Alange",160.28,1848
"01","41","002","1","Alanís",281.11,1723
"10","46","005","7","Alaquàs",3.9,29561
"07","34","005","3","Alar del Rey",57.91,934
"07","37","007","4","Alaraz",49.17,439
"02","50","009","3","Alarba",19,124
"08","16","003","5","Alarcón",119.96,148
"08","19","005","8","Alarilla",22.14,163
"04","07","001","2","Alaró",45.72,5572
"09","25","005","8","Alàs i Cerc",57.36,329
"08","02","002","4","Alatoz",63.86,519
"02","44","007","0","Alba",69.53,170
"07","34","006","6","Alba de Cerrato",35.21,87
"07","37","008","0","Alba de Tormes",46.47,5186
"07","37","009","3","Alba de Yeltes",22.36,207
"08","02","003","0","Albacete",1126.99,173329
"09","25","006","1","Albagés, L'",26.12,369
"10","46","006","0","Albaida",35.41,5900
"01","41","003","7","Albaida del Aljarafe",10.92,3197
"10","46","007","6","Albal",7.33,16399
"11","10","007","3","Albalá",38.49,689
"08","13","004","9","Albaladejo",48.94,1158
"08","16","004","0","Albaladejo del Cuende",55.19,245
"10","46","008","2","Albalat de la Ribera",14.35,3360
"10","46","009","5","Albalat dels Sorells",4.62,3977
"10","46","010","9","Albalat dels Tarongers",21.34,1232
"02","22","007","3","Albalate de Cinca",44.23,1103
"08","16","005","3","Albalate de las Nogueras",40.11,253
"08","19","006","1","Albalate de Zorita",53.32,943
"02","44","008","6","Albalate del Arzobispo",205.69,1980
"02","22","008","9","Albalatillo",9.15,176
"01","04","004","6","Albanchez",34.91,741
"01","23","001","1","Albanchez de Mágina",38.83,1024
"09","17","003","1","Albanyà",94.51,157
"08","19","007","7","Albares",29.44,513
"02","44","009","9","Albarracín",452.7,1025
"08","45","003","6","Albarreal de Tajo",41.44,683
"08","02","004","5","Albatana",30.5,692
"09","25","007","7","Albatàrrec",10.78,2221
"10","03","005","4","Albatera",61.54,12279
"02","22","009","2","Albelda",51.85,698
"17","26","005","1","Albelda de Iregua",23.03,3446
"08","16","006","6","Albendea",38.2,121
"08","19","008","3","Albendiego",22.91,49
"02","44","010","3","Albentosa",68,276
"08","16","007","2","Alberca de Záncara, La",100.86,1590
"07","37","010","7","Alberca, La",60.73,1081
"07","37","011","4","Alberguería de Argañán, La",30.06,112
"10","46","011","6","Alberic",26.79,10526
"17","26","006","4","Alberite",20.24,2422
"02","50","010","7","Alberite de San Juan",11.23,69
"02","22","011","3","Albero Alto",19.28,117
"02","22","012","8","Albero Bajo",22.22,135
"02","22","013","4","Alberuela de Tubo",20.79,301
"09","25","008","3","Albesa",37.46,1556
"02","50","011","4","Albeta",2.65,133
"09","25","009","6","Albi, L'",32.72,764
"07","09","009","8","Albillos",12.36,209
"09","43","002","2","Albinyana",19.57,2438
"09","43","003","8","Albiol, L'",20.38,485
"16","20","004","9","Albiztur",13.01,304
"10","12","003","8","Albocàsser",82.29,1241
"01","04","005","9","Alboloduy",69.73,616
"01","18","003","7","Albolote",78.58,18808
"01","18","004","2","Albondón",34.48,728
"09","17","004","6","Albons",11.31,776
"10","46","012","1","Alborache",27.33,1160
"10","46","013","7","Alboraia/Alboraya",8.34,24454
"08","02","005","8","Alborea",71.87,658
"02","50","012","9","Alborge",4.84,107
"07","05","005","2","Albornos",17.1,183
"01","04","006","2","Albox",168.28,11805
"14","30","004","7","Albudeite",17.08,1373
"11","06","005","5","Albuera, La",26.37,2028
"10","46","014","2","Albuixech",4.42,4017
"01","18","005","5","Albuñán",8.53,406
"01","18","006","8","Albuñol",62.94,7233
"01","18","007","4","Albuñuelas",140.05,821
"11","06","006","8","Alburquerque",723.23,5343
"08","45","004","1","Alcabón",8.02,686
"08","02","006","1","Alcadozo",99.59,654
"02","44","011","0","Alcaine",57.38,59
"02","50","013","5","Alcalá de Ebro",9.87,246
"01","41","004","2","Alcalá de Guadaíra",285.43,75279
"02","22","014","9","Alcalá de Gurrea",71.42,248
"13","28","005","3","Alcalá de Henares",87.72,195649
"02","44","012","5","Alcalá de la Selva",104.95,343
"08","16","008","8","Alcalá de la Vega",69.25,93
"01","11","001","2","Alcalá de los Gazules",479.07,5219
"02","50","014","0","Alcalá de Moncayo",13.76,143
"10","12","004","3","Alcalà de Xivert",167.56,6680
"08","02","007","7","Alcalá del Júcar",146.82,1170
"02","22","015","2","Alcalá del Obispo",47.85,318
"01","41","005","5","Alcalá del Río",82.57,12029
"01","11","002","7","Alcalá del Valle",46.89,5046
"01","23","002","6","Alcalá la Real",261.36,21605
"10","03","006","7","Alcalalí",14.4,1278
"02","22","016","5","Alcampell",58,631
"17","26","007","0","Alcanadre",31.08,643
"09","43","004","3","Alcanar",47.1,9418
"09","25","010","0","Alcanó",21.12,235
"11","10","008","9","Alcántara",551.99,1468
"14","30","005","0","Alcantarilla",16.24,42048
"10","46","016","8","Alcàntera de Xúquer",3.33,1291
"08","16","009","1","Alcantud",57.63,51
"07","49","003","4","Alcañices",54.98,1076
"02","44","013","1","Alcañiz",472.12,15947
"08","45","005","4","Alcañizo",13.51,274
"01","14","003","9","Alcaracejos",175.87,1486
"08","02","008","3","Alcaraz",370.53,1351
"09","25","011","7","Alcarràs",114.65,9514
"10","46","015","5","Alcàsser",9,10039
"01","29","002","2","Alcaucín",45.19,2230
"01","23","003","2","Alcaudete",236.84,10498
"08","45","006","7","Alcaudete de la Jara",156.12,1648
"08","13","005","2","Alcázar de San Juan",666.5,30576
"08","16","010","5","Alcázar del Rey",46.5,152
"07","47","005","3","Alcazarén",48.04,635
"14","30","902","7","Alcázares, Los",20.06,16138
"08","13","006","5","Alcoba",307.1,583
"13","28","006","6","Alcobendas",44.98,117040
"08","19","009","6","Alcocer",61.19,313
"10","03","007","3","Alcocer de Planes",4.39,230
"07","09","010","2","Alcocero de Mola",8.33,32
"08","16","011","2","Alcohujate",27.29,28
"01","04","007","8","Alcolea",67.52,825
"08","13","007","1","Alcolea de Calatrava",70.72,1409
"02","22","017","1","Alcolea de Cinca",83.24,1155
"08","19","010","0","Alcolea de las Peñas",16.66,13
"08","45","007","3","Alcolea de Tajo",64.47,810
"08","19","011","7","Alcolea del Pinar",113.35,320
"01","41","006","8","Alcolea del Río",50.17,3373
"10","03","008","9","Alcoleja",14.56,173
"09","25","012","2","Alcoletge",16.41,3420
"11","10","009","2","Alcollarín",79.92,289
"07","42","006","3","Alconaba",52.45,176
"07","37","012","9","Alconada",21.26,149
"07","40","005","8","Alconada de Maderuelo",12.07,25
"11","06","007","4","Alconchel",294.95,1680
"02","50","015","3","Alconchel de Ariza",34.85,62
"08","16","012","7","Alconchel de la Estrella",42.94,88
"11","06","008","0","Alconera",32.71,744
"01","04","008","4","Alcóntar",93.91,505
"10","12","005","6","Alcora, l'",95.18,10405
"13","28","007","2","Alcorcón",33.73,170514
"02","44","014","6","Alcorisa",121.2,3266
"08","19","013","8","Alcoroches",32.25,126
"09","43","005","6","Alcover",46.26,5064
"10","03","009","2","Alcoy/Alcoi",129.86,58994
"02","22","018","7","Alcubierre",115.31,360
"07","42","007","9","Alcubilla de Avellaneda",60.56,104
"07","42","008","5","Alcubilla de las Peñas",86.06,57
"07","49","004","9","Alcubilla de Nogales",13.67,117
"08","13","008","7","Alcubillas",47.46,477
"10","46","018","0","Alcublas",43.51,628
"04","07","003","3","Alcúdia",60.02,20241
"10","46","020","7","Alcúdia de Crespins, l'",5.17,5157
"01","04","009","7","Alcudia de Monteagud",15.52,152
"10","12","006","9","Alcudia de Veo",30.66,190
"10","46","019","3","Alcúdia, l'",23.67,12009
"11","10","010","6","Alcuéscar",108.61,2593
"10","46","021","4","Aldaia",16.05,31864
"07","47","006","6","Aldea de San Miguel",19.93,224
"05","35","020","6","Aldea de San Nicolás, La",123.71,7504
"11","10","012","8","Aldea del Cano",28.69,600
"13","28","008","8","Aldea del Fresno",51.78,2838
"07","37","015","3","Aldea del Obispo",41.92,243
"11","10","013","4","Aldea del Obispo, La",37.85,303
"08","13","009","0","Aldea del Rey",154.32,1657
"08","45","008","9","Aldea en Cabo",25.5,163
"07","40","012","2","Aldea Real",25.28,282
"09","43","904","4","Aldea, L'",30.17,4160
"11","10","011","3","Aldeacentenera",110.56,578
"07","37","013","5","Aldeacipreste",37.17,109
"07","37","014","0","Aldeadávila de la Ribera",46.18,1224
"07","42","009","8","Aldealafuente",45.72,92
"07","40","006","1","Aldealcorvo",6.08,22
"07","37","016","6","Aldealengua",5.48,664
"07","40","007","7","Aldealengua de Pedraza",35.18,72
"07","40","008","3","Aldealengua de Santa María",19.73,63
"07","42","010","2","Aldealices",6.33,36
"07","42","011","9","Aldealpozo",11.87,17
"07","42","012","4","Aldealseñor",9.29,31
"07","47","007","2","Aldeamayor de San Martín",53.56,5524
"08","45","009","2","Aldeanueva de Barbarroya",91.8,520
"17","26","008","6","Aldeanueva de Ebro",39.08,2761
