"","cp","prov","month","location","unemployement","men_s24","men_b24_44","men_g44","women_s24","women_b24_44","women_g44","agriculture","industry","construction","services","previously_unemployed"
"1",15001,"CORUÑA A","Abril","ABEGONDO",272,8,46,77,6,67,68,6,43,25,186,12
"2",15002,"CORUÑA A","Abril","AMES",2210,48,414,474,52,656,566,27,143,136,1744,160
"3",15003,"CORUÑA A","Abril","ARANGA",63,NA,12,27,1,15,8,4,6,4,45,4
"4",15004,"CORUÑA A","Abril","ARES",416,8,73,105,9,109,112,7,44,57,279,29
"5",15005,"CORUÑA A","Abril","ARTEIXO",2592,70,521,574,60,659,708,26,364,287,1758,157
"6",15006,"CORUÑA A","Abril","ARZUA",291,4,45,81,5,72,84,18,39,29,187,18
"7",15007,"CORUÑA A","Abril","BAÑA, A",207,2,27,77,1,53,47,15,24,32,126,10
"8",15008,"CORUÑA A","Abril","BERGONDO",400,7,66,117,8,83,119,5,28,42,302,23
"9",15009,"CORUÑA A","Abril","BETANZOS",860,21,168,208,24,207,232,17,83,72,626,62
"10",15010,"CORUÑA A","Abril","BOIMORTO",82,2,9,27,3,15,26,9,7,12,49,5
"11",15011,"CORUÑA A","Abril","BOIRO",1154,51,238,243,41,315,266,65,169,114,747,59
"12",15012,"CORUÑA A","Abril","BOQUEIXON",206,3,47,45,7,55,49,6,17,16,154,13
"13",15013,"CORUÑA A","Abril","BRION",447,11,79,122,8,117,110,7,41,53,320,26
"14",15014,"CORUÑA A","Abril","CABANA DE BERGANTIÑOS",279,8,31,79,6,57,98,8,65,37,153,16
"15",15015,"CORUÑA A","Abril","CABANAS",203,3,41,67,4,38,50,4,22,25,136,16
"16",15016,"CORUÑA A","Abril","CAMARIÑAS",371,18,43,78,8,91,133,27,36,47,239,22
"17",15017,"CORUÑA A","Abril","CAMBRE",1696,36,293,415,29,386,537,19,203,141,1245,88
"18",15018,"CORUÑA A","Abril","CAPELA, A",51,0,9,19,1,11,11,1,9,5,35,1
"19",15019,"CORUÑA A","Abril","CARBALLO",2772,71,419,614,72,704,892,42,677,489,1412,152
"20",15901,"CORUÑA A","Abril","CARIÑO",208,5,34,60,1,45,63,13,18,20,144,13
